date,price,total_volume,market_cap
2021-01-01,0.36615307534318475,104906.51171763736,17722168.40893013
2021-01-02,0.35920938355292975,156901.15679920375,17396013.185743336
2021-01-03,0.3709922226357099,187488.86241517347,17878664.161746725
2021-01-04,0.42652008628096955,297164.0290620809,21130506.12500623
2021-01-05,0.41901202823431616,282557.6615746068,20220078.20520924
2021-01-06,0.4527197495855847,354894.4090881468,21815790.409896404
2021-01-07,0.4997662670937171,437019.41282097396,23886725.677236803
2021-01-08,0.5025062699832747,337458.4008052718,24490791.473273613
2021-01-09,0.4938806409738622,283594.91706288315,23911386.61277882
2021-01-10,0.498973016247955,297409.69159022503,24150783.97790298
2021-01-11,0.42657376130714986,244029.1747132269,20771958.276676673
2021-01-12,0.3764930138560742,168403.17288341693,18175434.25419548
2021-01-13,0.3780468153304674,331065.6489138136,18194625.60211854
2021-01-14,0.528195526933023,816202.7678387512,25769522.591192868
2021-01-15,0.5599016019006731,361092.0669567255,26945500.087324727
2021-01-16,0.5346530375398983,386782.2347663211,25855570.038814474
2021-01-17,0.4778800386508478,274564.2512396953,23099259.808870297
2021-01-18,0.5005220128732369,336244.99437373126,24261788.723704163
2021-01-19,0.5818548129090169,369087.4261341403,28156243.922432303
2021-01-20,0.5666911078393024,498746.9116293619,27144292.311944414
2021-01-21,0.6291901344513208,538626.8581742648,30151852.741460487
2021-01-22,0.5393083325263194,305631.79393558315,26266258.576748084
2021-01-23,0.5862335933368686,320069.68304584577,28223799.401975673
2021-01-24,0.5868555442168244,318843.87894398184,28422580.26779747
2021-01-25,0.6713142834286226,382590.73748411867,32454873.95045993
2021-01-26,0.6985688086024459,568782.6496722556,33920213.994965725
2021-01-27,1.135063463364621,4529749.405837609,56462798.62001767
2021-01-28,1.0246031221094558,2386063.8307596813,49697417.18979686
2021-01-29,1.016211707639169,901285.1564638225,50254132.120521866
2021-01-30,0.9841582579176449,827768.3317208308,47675359.807325065
2021-01-31,0.9677521197366796,646012.8144484867,46889729.813127354
2021-02-01,0.9945993995328893,646542.8247868465,48311930.662925005
2021-02-02,0.7974199229377587,1345283.0374148276,38748137.4686889
2021-02-03,0.7353006104831935,628071.0675879725,35633175.23859035
2021-02-04,0.836923996818928,798197.6494533379,40271998.478527784
2021-02-05,0.6986691751938998,589347.9957626754,34187999.872365125
2021-02-06,0.7340974181566187,500823.88209130685,35517996.83704925
2021-02-07,0.6981330677824946,513110.0775582171,33759527.053400345
2021-02-08,0.6817060925261194,476345.2324082681,32885255.283946335
2021-02-09,0.7364161775645491,980151.2748309955,36989397.133916244
2021-02-10,0.8265342472046091,859707.0525501295,40210871.44210707
2021-02-11,0.774115692861488,729808.2696597311,37576351.209922336
2021-02-12,0.8686376797257732,950141.3138286072,42179166.448817894
2021-02-13,0.8491998248419964,925210.8205449644,41038864.245245196
2021-02-14,0.7566443613478746,1314868.0491342086,36420616.274443924
2021-02-15,0.7484255354005078,523407.20428595,36280637.02533212
2021-02-16,0.6606152425424029,877619.5237200172,32067150.32690952
2021-02-17,0.6496957359691359,600151.9055720584,31476288.864419557
2021-02-18,0.632844086762983,1075395.4122626032,30615792.935241796
2021-02-19,0.6905934234726518,969161.2051047579,34455058.99397533
2021-02-20,0.6253339378854821,873523.3439495037,30146542.121159155
2021-02-21,0.6025115464104341,635994.2705515759,28998771.6963474
2021-02-22,0.6257028791116181,591374.2896778836,30288384.312008154
2021-02-23,0.5511272981187118,417942.1153491485,26579452.02356178
2021-02-24,0.5327898041462613,498563.8251399101,25726337.95808858
2021-02-25,0.598485266448599,454834.68631680845,28840912.026782762
2021-02-26,0.5453590340930792,412903.97038748866,26513532.3849852
2021-02-27,0.5414177730531468,367203.089409276,26226047.195947565
2021-02-28,0.5787920798977491,159906.53390852918,27927622.879356034
2021-03-01,0.5000143881726923,330180.17288778955,24369372.860504
2021-03-02,0.6794132640079381,645320.9561057431,32882952.025366817
2021-03-03,0.6024028439183033,392825.7123943108,29157609.957077205
2021-03-04,0.5984770221708466,1641386.071825161,29016587.306722827
2021-03-05,0.5787271280230311,636649.1033517598,28004872.14262931
2021-03-06,0.56567870097877,589584.5696953435,26888312.30518733
2021-03-07,0.6317612000857986,361278.5224232864,30577862.473651137
2021-03-08,0.6587583171114404,535758.6312761094,31859941.025458273
2021-03-09,0.6130920387669035,531123.939354415,29610250.1587777
2021-03-10,0.6990439532026923,1110752.9088487346,33834413.79617235
2021-03-11,0.6293307618816573,402921.248892537,30518231.710697323
2021-03-12,0.6136109537897573,476439.7080458776,29744838.010205273
2021-03-13,0.6769374490471375,1134880.5030477718,31899475.353192598
2021-03-14,0.7649669603807371,770964.6109596804,37040620.57896647
2021-03-15,0.7763639267801776,642192.5377223428,37681933.34555237
2021-03-16,0.7567188005421255,769033.258162589,36706723.109534636
2021-03-17,0.7803541631877103,898474.9347006207,37708328.78222417
2021-03-18,0.886646166408344,709641.5581005022,42467775.92483812
2021-03-19,0.7863026328984964,511485.9934152167,38082412.462149136
2021-03-20,0.8467749657493095,733565.5190426583,40626636.519806206
2021-03-21,0.8517975262352213,653622.3047695754,41487786.65353915
2021-03-22,0.8927545471891244,1012963.533128996,43217349.57184871
2021-03-23,0.938659984909355,531262.3770823815,45433838.44438395
2021-03-24,0.9016377019530994,750682.6624003467,43621442.500801176
2021-03-25,0.7733273550573946,911539.0878263369,37429803.39224056
2021-03-26,0.913686730951123,1117866.31954477,44294765.48029389
2021-03-27,1.0912649650533977,726858.936675879,52832908.91299132
2021-03-28,1.235736497399214,1111713.0636733766,59947668.07075236
2021-03-29,1.2601849117736423,731021.6790322152,61527458.73754915
2021-03-30,1.4038850895064454,1155109.620934559,69376453.35976359
2021-03-31,1.3213250699262138,1243001.7431077631,63907169.94318024
2021-04-01,1.4240016321409958,1063256.369847741,69022752.4156512
2021-04-02,1.4900590429202913,878232.4574619954,72203105.04615389
2021-04-03,1.780828069716394,1238000.6536017156,86293139.75134405
2021-04-04,1.5274567548842364,522826.1375152175,74436258.88860168
2021-04-05,1.6756133250809346,1052008.67942448,81016216.56430528
2021-04-06,1.6188907263524015,967270.6574262388,78342109.67449139
2021-04-07,1.7112520335856967,1056227.2154701883,83014959.46929467
2021-04-08,1.6549677248716455,1009237.7110786065,80302888.5391218
2021-04-09,1.6033007597220528,1503225.7996548726,77483172.92910889
2021-04-10,1.4503522904867523,1089499.2158705157,69779803.01747246
2021-04-11,1.5678878802475116,386459.92336070735,75816610.73045601
2021-04-12,1.6780017435298689,1112130.1591309104,81202461.69838892
2021-04-13,1.766902984381313,1185298.17933046,85485651.24771464
2021-04-14,1.709359303844473,1312931.080773617,82598735.55813426
2021-04-15,1.7279139446703486,1157912.4912143853,83643213.47126865
2021-04-16,1.7186733727245678,835300.5709135599,83163212.64359242
2021-04-17,1.5308076506022081,532061.4383105803,74139029.34167273
2021-04-18,1.4393483071869988,492877.1701466025,69027851.15387025
2021-04-19,1.5274213481848256,1772647.7789601702,74061587.97824542
2021-04-20,1.9652820316535922,2187633.247908054,96642651.52359368
2021-04-21,2.0284471321847715,2286607.267219786,98798341.47675414
2021-04-22,1.575820822117559,5650591.977401101,72810905.89080776
2021-04-23,1.4478517767183863,1411359.2347647238,70051912.00010861
2021-04-24,1.2690647868759113,833770.6477920396,61355906.721200906
2021-04-25,1.1631266545646652,715865.4539344893,56370492.742139004
2021-04-26,1.0856521997049706,692883.2990183822,52647370.56338821
2021-04-27,1.3534307554326401,683101.4617378821,65445008.8172555
2021-04-28,1.242108979764287,581022.6117273265,60155052.90804091
2021-04-29,1.2729764435392399,654574.8906252976,61599371.7550577
2021-04-30,1.2918517635332067,638314.1953852199,62506725.02468519
2021-05-01,1.1353880187401981,693327.5604104246,54877945.715486236
2021-05-02,1.2076672169982474,665590.3291219551,59061119.249662615
2021-05-03,1.0852965122126446,302365.6738391802,52536155.45342351
2021-05-04,1.0641358755573045,919777.2478264073,51356747.30913165
2021-05-05,1.1121551772914964,1208114.044071601,53999682.452184364
2021-05-06,1.1399184193699965,567878.7037039412,55213941.5673919
2021-05-07,1.1288683713700272,681448.2282171969,56160458.44483991
2021-05-08,1.1641539296687264,511287.0958902953,56019180.26435217
2021-05-09,1.222110228862777,297871.1456747226,58919454.13158948
2021-05-10,1.1760650518433922,397649.3606520454,57040179.3652642
2021-05-11,1.108165376411292,248732.12429123573,53705935.70640531
2021-05-12,1.1138732350592566,189510.01841664762,53635010.42802443
2021-05-13,1.0748015160510862,391043.4837347725,53274215.72738162
2021-05-14,1.0811317386693293,531626.180908642,52407662.978836596
2021-05-15,1.2302436001991894,596485.8170911917,59541560.36688767
2021-05-16,0.9888759008469368,634120.8986777951,48067534.14136065
2021-05-17,0.9232825290066269,671510.4423662802,44687781.06736422
2021-05-18,0.8953125885228338,532166.3652835985,43529054.62451071
2021-05-19,0.8600544273349533,1060773.1109875639,41745593.53876492
2021-05-20,0.6630225460192022,445332.78513262625,32557574.05246522
2021-05-21,0.796013438929842,606672.9876875258,38643333.009736665
2021-05-22,0.6867650325611208,699642.3843545292,33236239.176080495
2021-05-23,0.5930724396384653,213753.2848055875,28808595.69407789
2021-05-24,0.5256348642911042,378955.41130532586,25535084.442139126
2021-05-25,0.6361843593187719,208750.83465622456,30672771.84939698
2021-05-26,0.6485463610110472,303935.3879479805,31339032.071543034
2021-05-27,0.7453473045755487,281785.6543613454,35843040.48850961
2021-05-28,0.7448660413590239,421670.86495522165,36018497.87736204
2021-05-29,0.6724987911806042,333920.26811922307,32539625.887810092
2021-05-30,0.6197237017330876,310464.1065665762,30262201.302491177
2021-05-31,0.6597757005566788,239720.370853849,31943764.90063588
2021-06-01,0.7292913684360204,315543.36055782554,35362842.143078156
2021-06-02,0.6883611955393261,198353.35248603945,33296810.64430566
2021-06-03,0.6820285852818178,207111.28158507557,33010853.27971073
2021-06-04,0.7628285488135251,117320.143108342,36855999.24501848
2021-06-05,0.7082540718298803,141082.86148603552,34243714.5687033
2021-06-06,0.6816358483355632,251766.77024182578,32896772.70610111
2021-06-07,0.7457142815041158,290614.80178788595,36006030.66376447
2021-06-08,0.6392729611742682,287741.16727685154,33801631.602430224
2021-06-09,0.6686095840937653,274384.0707061819,32399162.574275322
2021-06-10,0.6767129139640131,238092.01391507755,32822375.39269385
2021-06-11,0.646990733453959,95998.18244037851,31314986.84407187
2021-06-12,0.571870238211131,164734.85431235156,27777475.279965714
2021-06-13,0.5826563720943041,224478.19307345667,28201140.577921715
2021-06-14,0.6001678970467839,194819.15966650692,29052578.14436416
2021-06-15,0.6211511296697843,208176.6474485557,30651672.53797373
2021-06-16,0.6462666215800194,138502.48497551907,31300375.6783263
2021-06-17,0.5826344417236126,333942.89175086975,28221837.794213034
2021-06-18,0.595031511050914,75234.63833335944,29722650.006249707
2021-06-19,0.5298217863554724,346614.57630907645,25201323.68128922
2021-06-20,0.5297481377061666,294849.6321049537,25916975.786221422
2021-06-21,0.49349983159167027,288594.5953405247,23910637.41828788
2021-06-22,0.36994149134933957,667166.0744969451,18017419.75067281
2021-06-23,0.34189518138271363,445930.3598183556,16394574.633021727
2021-06-24,0.3649516528043376,171421.6446145486,17664018.378252994
2021-06-25,0.3795760658129734,189375.42051265363,18372585.751461532
2021-06-26,0.34105988732690334,314479.476948874,16415273.822081093
2021-06-27,0.30929105957331354,251269.49317806427,14946533.622625483
2021-06-28,0.3349839271714454,134641.99225155564,16149341.808855146
2021-06-29,0.3519698950781866,129539.1678662131,16982234.689043615
2021-06-30,0.3676016081169011,204077.28817956362,17793884.47316563
2021-07-01,0.3713855358467278,203204.18170608205,17955500.469218466
2021-07-02,0.3529922031090089,182200.36325114363,17101985.407488964
2021-07-03,0.35322208669249,183818.31579526517,17051142.42839389
2021-07-04,0.35434973268519565,191237.0862492599,17057568.71623624
2021-07-05,0.3694440001149748,238603.79116478757,17867644.14177571
2021-07-06,0.36103657672097494,176420.9966628828,17377374.70257457
2021-07-07,0.3758688960958418,303580.5043393691,18172588.009121563
2021-07-08,0.411723078063275,304272.45374249713,19943884.03635587
2021-07-09,0.3836641607377296,100659.24615718929,18569722.137911957
2021-07-10,0.39112781032296506,127110.65262122323,18910979.751982618
2021-07-11,0.38033265617759465,109539.54999491174,18412070.537970617
2021-07-12,0.3792043969269771,133460.78215896562,18307365.850107536
2021-07-13,0.36112006130586116,263186.74194111297,17484666.64467028
2021-07-14,0.3455703153170862,195014.111435865,16786979.689134765
2021-07-15,0.35323899034067185,164473.1010624715,17104984.780964464
2021-07-16,0.34510063954443476,160567.2829220232,16756379.322818136
2021-07-17,0.3313394220873598,137196.0673382,16016535.556478653
2021-07-18,0.33087586252755063,211934.84609823083,16014716.666430451
2021-07-19,0.32507251821761546,73376.30450127927,15695624.442078391
2021-07-20,0.2975404654585855,188481.8446513683,14413298.341807527
2021-07-21,0.27375293167961023,221338.30264611813,13249910.718672043
2021-07-22,0.30514426344089013,213886.00584886715,14728109.39556443
2021-07-23,0.3100497549662297,83873.1132430723,14984852.65412309
2021-07-24,0.3089195734070451,142150.06579995414,14952010.711922068
2021-07-25,0.32362124674709053,142259.2164362278,15656236.168054668
2021-07-26,0.328107758724,132537.96921578972,15863697.475066025
2021-07-27,0.34867565746280044,142588.10260956906,16946443.56481145
2021-07-28,0.36880650830635364,213804.93509105066,17770743.353886217
2021-07-29,0.3634685107734841,137771.24572298993,17585465.122866187
2021-07-30,0.35992930698412684,208785.46203601215,17339936.266259406
2021-07-31,0.37366175611525254,144700.21396701047,18104140.732584577
2021-08-01,0.3794864536520353,119039.19162933463,18387285.810784873
2021-08-02,0.3757516507505607,259655.04319294498,18264214.950388856
2021-08-03,0.3870147445873849,166648.80420799137,18733939.756202914
2021-08-04,0.3686902228854323,162585.90119801802,17875508.408505227
2021-08-05,0.3936845279187869,235227.49486973952,18857404.658877477
2021-08-06,0.4094783584307722,299510.93461884826,19811866.115619563
2021-08-07,0.41823379030870084,173903.91111315193,20247312.502557945
2021-08-08,0.48694942976831695,817111.937384918,23421681.303364474
2021-08-09,0.481283979974742,210076.9791415391,23101243.974210974
2021-08-10,0.5197024315803306,308962.8957379026,24251054.177028805
2021-08-11,0.5009779002743715,313439.0819887979,24247907.641254365
2021-08-12,0.5227201161386674,131367.39791237956,25400077.2834349
2021-08-13,0.5018938054788898,153440.6156682929,24268136.519928005
2021-08-14,0.5509501096424491,486106.58425960224,26615512.47817904
2021-08-15,0.5596886071580018,246941.69160860212,27075421.369545702
2021-08-16,0.5633054429542904,199130.54734857604,27254764.878183298
2021-08-17,0.5731728588634855,350104.32002920733,27803627.08945565
2021-08-18,0.5565865164987772,164318.95682029842,27118571.612778492
2021-08-19,0.5781256998977984,143349.36906052526,28004947.872527957
2021-08-20,0.5618682582318334,271930.7176380006,26748493.770432197
2021-08-21,0.5749658864156566,257207.6273830386,27564493.58552128
2021-08-22,0.569405913362539,239010.61771051632,27638900.961540505
2021-08-23,0.5664915925682844,112655.39990821992,27442378.96584296
2021-08-24,0.5823341615838404,177964.96697927828,28195397.568832304
2021-08-25,0.5605347264105539,182178.0283204056,27141218.34433384
2021-08-26,0.5675973425281716,140275.61343377692,27472806.415194705
2021-08-27,0.5453290078597502,212102.4156800498,26422699.7944028
2021-08-28,0.569480576124671,135465.01040391292,26767436.051213346
2021-08-29,0.5238729186625883,105515.24573334014,25372907.04139454
2021-08-30,0.4911958687866814,386452.680326082,23784490.16448877
2021-08-31,0.5009652144137796,177331.68707909115,24345415.30928491
2021-09-01,0.5138058130848137,104067.52340234422,24868705.910613433
2021-09-02,0.5416234040048714,214947.1518454095,26247991.2757992
2021-09-03,0.5506287941496865,127847.62282871616,26530674.548096616
2021-09-04,0.5577381917829004,140249.32266786354,27715427.567570496
2021-09-05,0.6065434415442753,170700.74332902752,29392942.29972641
2021-09-06,0.6152222871576959,234260.8652026214,29848131.486138996
2021-09-07,0.6436416420995931,708959.3909312574,31743646.55519652
2021-09-08,0.5516299857343996,337141.64975535223,26682038.37876181
2021-09-09,0.5306846530637916,161477.22623910574,25663903.55050892
2021-09-10,0.5370937522289155,409277.4213785768,25985733.989506427
2021-09-11,0.5263525262821145,195793.08897270786,25502624.796167333
2021-09-12,0.5294101314728767,111947.0797096896,25650707.458146404
2021-09-13,0.5148960473813351,365542.13530311297,24873098.422505233
2021-09-14,0.48174040407705165,125270.51228077973,23294547.73618917
2021-09-15,0.5112372524325285,108403.15567919954,24682898.150094908
2021-09-16,0.5004876728270136,215764.45100911637,24283682.04569483
2021-09-17,0.465552501995896,180433.07825695883,22541122.192063928
2021-09-18,0.43930748420558224,104039.09441308619,21253504.489956092
2021-09-19,0.4639742951393781,226595.71580475356,22484832.11279374
2021-09-20,0.41606647808317027,243930.45467616658,20125941.318121616
2021-09-21,0.3466166938100364,210007.86934229668,16825814.634160683
2021-09-22,0.33273152606417217,175519.681092256,15987426.231471103
2021-09-23,0.36332876358680827,43983.60920160021,17538336.02409906
2021-09-24,0.3643078823245871,73490.11770837844,17604006.37607982
2021-09-25,0.34530958646450804,94503.29066108653,16679228.464404378
2021-09-26,0.35052717407079825,19518.505170665656,16962913.005441714
2021-09-27,0.3420136408419318,32999.59588212006,16571840.354245735
2021-09-28,0.3394647661191509,36422.103702902896,16424503.615481889
2021-09-29,0.3220472116631514,30841.253934742563,15813108.606843567
2021-09-30,0.33032214627305717,34594.13435600053,15979377.423839968
2021-10-01,0.3428480754967674,88006.789508232,16605029.204205172
2021-10-02,0.37250178663530265,239951.57028577215,17974536.96237338
2021-10-03,0.3798703604863723,23302.679324987108,18386098.480234418
2021-10-04,0.38346627292262286,52433.56728186459,18530212.846233338
2021-10-05,0.3590746873458448,125084.13828181113,17413312.834112663
2021-10-06,0.3874934447039855,181318.17154257954,18756556.021772437
2021-10-07,0.40920495622873077,85711.19288537657,19794255.40537315
2021-10-08,0.3991348875203001,73816.96928110272,19186223.655231167
2021-10-09,0.40977678355036085,186111.7751485667,19923437.734459512
2021-10-10,0.4226995288201116,61511.914947728466,20450109.06261314
2021-10-11,0.4005429663612279,18645.24864850913,19406883.143828567
2021-10-12,0.4218525343620408,124238.28509904086,20411014.354087915
2021-10-13,0.38384481668773673,415950.60587601265,18574826.644118045
2021-10-14,0.38905976002345327,88091.7847154829,18832019.02964188
2021-10-15,0.4086424671288295,45431.75579651737,19759351.22702007
2021-10-16,0.39987012222239854,17313.374339717015,19326414.480924346
2021-10-17,0.382228558646058,382020.34125633887,18413930.716388598
2021-10-18,0.37757318956921515,82449.08981696886,18239552.605864312
2021-10-19,0.36702262368264876,165724.55770999627,18007638.066937074
2021-10-20,0.3460699885025139,383796.53801354684,16734820.851498233
2021-10-21,0.3698568354550407,155886.97390502985,17985056.918147977
2021-10-22,0.3656967209486484,46390.532979173884,17702417.22598233
2021-10-23,0.3433287183976884,148766.10587602505,16564426.375316983
2021-10-24,0.3434769683494232,100179.88571670982,16709124.56013594
2021-10-25,0.3367841797785924,100985.82084220443,16336630.667261077
2021-10-26,0.3602180943157773,138846.2333235582,17374696.5973613
2021-10-27,0.3624603561987879,186353.96392989196,17666219.616681296
2021-10-28,0.36553594883867824,465386.12788587983,17809458.11623268
2021-10-29,0.3885672549877651,311652.6146770098,18764689.949515864
2021-10-30,0.3953140924801716,223848.27033405332,19054217.147620752
2021-10-31,0.38721145151350966,578572.2614381487,18711944.656528097
2021-11-01,0.4063853920844609,91000.70560880234,20117141.83642433
2021-11-02,0.4137639323660376,275115.63435595366,20111684.7828258
2021-11-03,0.4235438887674509,98122.38165613929,20554998.686928615
2021-11-04,0.41893312575976754,292022.1475377885,20317611.816920053
2021-11-05,0.4190706786390459,74536.51991363952,19958382.41295047
2021-11-06,0.4193172831929077,104466.18570358223,20286297.20410875
2021-11-07,0.41226848583733483,25444.107376740867,19922119.927809745
2021-11-08,0.4814843394621199,788355.9369217962,23025101.772101346
2021-11-09,0.5795738453654599,453189.6427758722,28059233.742027257
2021-11-10,0.5573667311296786,364260.66179926327,27028808.862518754
2021-11-11,0.5357500886049587,459554.09676183364,25930830.39506701
2021-11-12,0.5767524790007038,142912.18562511902,27790792.303916086
2021-11-13,0.5159491922767686,861649.729898421,24892182.155351005
2021-11-14,0.5199746073713797,7544.703784628917,25180205.94274276
2021-11-15,0.4988426176048622,58267.52650035133,24045511.021712415
2021-11-16,0.49348064874972286,15368.480971331493,23884947.99748366
2021-11-17,0.5141891998280487,260039.82252314207,25038956.26154254
2021-11-18,0.4655544067032012,287644.7272748416,22424298.470985454
2021-11-19,0.4520982334448336,297060.3109792008,21832982.738085344
2021-11-20,0.48743499127565393,130043.60651845194,23549723.749486316
2021-11-21,0.5032654702553125,52944.611084050266,24498172.449676868
2021-11-22,0.5021110185263473,37060.17758896448,24366745.922665477
2021-11-23,0.49312523355615856,286883.0021479712,23867745.553097427
2021-11-24,0.5218472709911972,175381.64561270605,25274221.133622963
2021-11-25,0.5114132459428763,35763.57412395746,24763389.608767364
2021-11-26,0.5876849327933378,291656.016799293,28591064.391753323
2021-11-27,0.5712575853030601,531156.8207535312,27637861.625300996
2021-11-28,0.5987716264981844,109566.05427773595,29006993.999329295
2021-11-29,0.6184077270699327,70186.33518925469,29939746.98648392
2021-11-30,0.6426603024540081,137298.27771388413,31116524.810828388
2021-12-01,0.6773466358414931,143527.6977950777,32876672.51078389
2021-12-02,0.6727231448024,87406.2697665675,32455527.853323195
2021-12-03,0.6340358606242583,238378.09506454848,30653148.8529406
2021-12-04,0.5814756768171409,109897.42490200335,28145605.971074723
2021-12-05,0.5390331128842729,145816.13823268792,26209684.272717196
2021-12-06,0.5376554385208158,229599.34374730283,26019408.611873124
2021-12-07,0.5493253195755572,118488.96160285483,26559591.41542888
2021-12-08,0.5262792867849319,68284.84233944741,25535126.15771049
2021-12-09,0.5408751293744289,109465.77567217084,26182822.275480285
2021-12-10,0.5108064696826156,67555.06268018422,24668122.475098006
2021-12-11,0.47574249710569405,123401.76144023523,22870472.558460195
2021-12-12,0.48382706929148384,89516.38828147916,23360165.49837598
2021-12-13,0.5097774243340676,142808.06632234444,24986483.728322573
2021-12-14,0.44557673687841104,452783.98827821884,21655259.90893389
2021-12-15,0.4642506962595249,247990.47576449232,22494334.5175898
2021-12-16,0.45410168545842794,34568.278848128895,22028895.78163845
2021-12-17,0.45962443966403127,46967.87804492012,22409035.125591077
2021-12-18,0.4354510942652139,60002.79168828537,21456361.987714097
2021-12-19,0.45584930024988796,192785.04454699164,22113229.335844703
2021-12-20,0.4837746901805855,361735.1692390052,23425507.583275102
2021-12-21,0.4992184505097164,317369.4422215839,24182293.228351366
2021-12-22,0.5230095047910637,81566.66212450253,25306658.79818361
2021-12-23,0.5462804944145557,245384.00168543388,26422386.65421176
2021-12-24,0.5534961146347339,173659.30580524972,26920970.491867524
2021-12-25,0.5126609896887585,349492.8680826224,24822268.601003516
2021-12-26,0.48429253327171917,667722.7611782956,23361278.932786006
2021-12-27,0.46085955329940254,261535.0025376005,22279323.775246248
2021-12-28,0.47391059101090294,134930.22163332938,22960827.014114764
2021-12-29,0.4235678340788517,192603.02550262,20535258.007158063
2021-12-30,0.41363825051992065,44137.60825671804,20034535.376603037
2021-12-31,0.3926540037867675,180855.10169500537,19090126.388270427
